"Time","Power"
"0.0","7.452"
"0.25","7.452"
"0.5","7.452"
"0.75","7.452"
"1.0","18.005"
"1.25","18.005"
"1.5","18.005"
"1.75","18.005"
"2.0","20.357"
"2.25","20.357"
"2.5","20.357"
"2.75","20.357"
"3.0","14.805"
"3.25","14.805"
"3.5","14.805"
"3.75","14.805"
"4.0","9.333"
"4.25","9.333"
"4.5","9.333"
"4.75","9.333"
"5.0","5.26"
"5.25","5.26"
"5.5","5.26"
"5.75","5.26"
"6.0","2.646"
"6.25","2.646"
"6.5","2.646"
"6.75","2.646"
"7.0","1.449"
"7.25","1.449"
"7.5","1.449"
"7.75","1.449"
"8.0","0.774"
"8.25","0.774"
"8.5","0.774"
"8.75","0.774"
"9.0","0.451"
"9.25","0.451"
"9.5","0.451"
"9.75","0.451"
"10.0","0.303"
"10.25","0.303"
"10.5","0.303"
"10.75","0.303"
"11.0","0.167"
"11.25","0.167"
"11.5","0.167"
"11.75","0.167"
"12.0","0.133"
"12.25","0.133"
"12.5","0.133"
"12.75","0.133"
"13.0","0.075"
"13.25","0.075"
"13.5","0.075"
"13.75","0.075"
"14.0","0.42"
"14.25","0.42"
"14.5","0.42"
"14.75","0.42"
"15.0","2.367"
"15.25","2.367"
"15.5","2.367"
"15.75","2.367"
"16.0","12.59"
"16.25","12.59"
"16.5","12.59"
"16.75","12.59"
"17.0","42.593"
"17.25","42.593"
"17.5","42.593"
"17.75","42.593"
"18.0","104.674"
"18.25","104.674"
"18.5","104.674"
"18.75","104.674"
"19.0","178.81"
"19.25","178.81"
"19.5","178.81"
"19.75","178.81"
"20.0","220.951"
"20.25","220.951"
"20.5","220.951"
"20.75","220.951"
"21.0","202.528"
"21.25","202.528"
"21.5","202.528"
"21.75","202.528"
"22.0","134.089"
"22.25","134.089"
"22.5","134.089"
"22.75","134.089"
"23.0","66.595"
"23.25","66.595"
"23.5","66.595"
"23.75","66.595"
