"Time","Probability"
"0.0","6.082149950986462E-5"
"0.25","9.440986642586567E-5"
"0.5","1.447331466110962E-4"
"0.75","2.1913360626720754E-4"
"1.0","3.276727520416234E-4"
"1.25","4.83907142461899E-4"
"1.5","7.057877185195535E-4"
"1.75","0.0010166618389639691"
"2.0","0.0014463363749196935"
"2.25","0.002032134532578694"
"2.5","0.0028198497222801295"
"2.75","0.0038644690482346313"
"3.0","0.005230510319048337"
"3.25","0.006991794482642049"
"3.5","0.009230465553565593"
"3.75","0.012035078258480188"
"4.0","0.015497605169953868"
"4.25","0.01970927398287053"
"4.5","0.024755233219726537"
"4.75","0.030708158851201765"
"5.0","0.037621048548959826"
"5.25","0.04551959337772204"
"5.5","0.05439465329246593"
"5.75","0.06419547444145908"
"6.0","0.0748243536081949"
"6.25","0.08613346044484985"
"6.5","0.09792445838895952"
"6.75","0.10995141473480374"
"7.0","0.12192726336244697"
"7.25","0.13353379496976117"
"7.5","0.14443482445471495"
"7.75","0.15429185665933023"
"8.0","0.16278127777924556"
"8.25","0.16961187776724454"
"8.5","0.17454139076641406"
"8.75","0.1773907471721406"
"9.0","0.17805486921773317"
"9.25","0.17650910276592102"
"9.5","0.1728107364054137"
"9.75","0.16709547735016494"
"10.0","0.15956918639265052"
"10.25","0.150495573722975"
"10.5","0.1401808806816954"
"10.75","0.1289567864527904"
"11.0","0.1171628644974267"
"11.25","0.10512986846060246"
"11.5","0.09316496428373215"
"11.75","0.08153977026295617"
"12.0","0.07048175444825248"
"12.25","0.0601692072571645"
"12.5","0.05072969298815995"
"12.75","0.042241617465317856"
"13.0","0.0347383515229778"
"13.25","0.028214231969927492"
"13.5","0.022631723091507433"
"13.75","0.017929053768260313"
"14.0","0.014027732626791547"
"14.25","0.01083946756688857"
"14.5","0.008272157256237252"
"14.75","0.006234763359283618"
"15.0","0.004640999567314133"
"15.25","0.003411877597654642"
"15.5","0.002477226502155484"
"15.75","0.001776349236950755"
"16.0","0.0012580020559005308"
"16.25","8.798825582710042E-4"
"16.5","6.077968259382341E-4"
"16.75","4.1465079995181553E-4"
"17.0","2.7938105196357715E-4"
"17.25","1.85909571513137E-4"
"17.5","1.2217909739392272E-4"
"17.75","7.930168875572866E-5"
"18.0","5.083447236849226E-5"
"18.25","3.2182854771135747E-5"
"18.5","2.0122464579169807E-5"
"18.75","1.2425908138042355E-5"
"19.0","7.5781895973228136E-6"
"19.25","4.5644994120750235E-6"
"19.5","2.715258645911021E-6"
"19.75","1.5952164369829518E-6"
"20.0","9.255894322871765E-7"
"20.25","5.304048908101398E-7"
"20.5","3.001836357711463E-7"
"20.75","1.6778644315777374E-7"
"21.0","1.1764735117877243E-7"
"21.25","2.1205967069911913E-7"
"21.5","3.775064468987397E-7"
"21.75","6.637140690778137E-7"
"22.0","1.1524657713981345E-6"
"22.25","1.9763570548779917E-6"
"22.5","3.34728847364362E-6"
"22.75","5.599009915697122E-6"
"23.0","9.249530570598292E-6"
"23.25","1.509101700619786E-5"
"23.5","2.43168707169884E-5"
"23.75","3.8697884497830845E-5"
