"Time","Total_Load"
"0.0","767.02"
"0.25","771.766"
"0.5","774.492"
"0.75","774.122"
"1.0","771.085"
"1.25","765.964"
"1.5","759.147"
"1.75","750.523"
"2.0","739.714"
"2.25","726.611"
"2.5","712.429"
"2.75","697.045"
"3.0","681.306"
"3.25","664.981"
"3.5","648.976"
"3.75","632.934"
"4.0","617.458"
"4.25","602.544"
"4.5","588.334"
"4.75","575.285"
"5.0","563.567"
"5.25","553.002"
"5.5","543.897"
"5.75","536.295"
"6.0","530.326"
"6.25","525.98"
"6.5","523.473"
"6.75","522.642"
"7.0","523.508"
"7.25","526.176"
"7.5","530.311"
"7.75","536.124"
"8.0","543.37"
"8.25","551.987"
"8.5","561.912"
"8.75","572.946"
"9.0","584.962"
"9.25","597.714"
"9.5","611.09"
"9.75","624.893"
"10.0","638.873"
"10.25","652.899"
"10.5","666.776"
"10.75","680.288"
"11.0","693.274"
"11.25","705.509"
"11.5","716.857"
"11.75","727.127"
"12.0","736.226"
"12.25","743.994"
"12.5","750.292"
"12.75","755.094"
"13.0","758.363"
"13.25","759.943"
"13.5","759.931"
"13.75","758.326"
"14.0","755.209"
"14.25","750.562"
"14.5","744.563"
"14.75","737.569"
"15.0","729.464"
"15.25","738.891"
"15.5","748.856"
"15.75","759.601"
"16.0","772.174"
"16.25","786.65"
"16.5","802.773"
"16.75","821.712"
"17.0","843.463"
"17.25","867.908"
"17.5","896.475"
"17.75","927.903"
"18.0","961.909"
"18.25","999.263"
"18.5","1039.302"
"18.75","1081.684"
"19.0","1125.477"
"19.25","1168.843"
"19.5","1211.924"
"19.75","1254.824"
"20.0","1293.915"
"20.25","1328.615"
"20.5","1359.426"
"20.75","1384.724"
"21.0","1403.052"
"21.25","1415.533"
"21.5","1421.565"
"21.75","1419.138"
"22.0","1411.097"
"22.25","1396.278"
"22.5","1375.189"
"22.75","1351.029"
"23.0","1320.68"
"23.25","1287.116"
"23.5","1251.992"
"23.75","1213.521"
