"Time","Probability"
"3.0","2.4850837872585354E-48"
"3.25","2.6842889549217927E-45"
"3.5","1.568854166838883E-42"
"3.75","5.400565196927075E-40"
"4.0","1.1724555957759147E-37"
"4.25","1.6976359241595498E-35"
"4.5","1.7171373180442656E-33"
"4.75","1.261341743694817E-31"
"5.0","6.953239598220832E-30"
"5.25","2.958279336141434E-28"
"5.5","9.950846261891975E-27"
"5.75","2.7022394893245726E-25"
"6.0","6.033170819810748E-24"
"6.25","1.1253059094639826E-22"
"6.5","1.7783877736746025E-21"
"6.75","2.4112756392647634E-20"
"7.0","2.836432081349203E-19"
"7.25","2.9237073632911323E-18"
"7.5","2.664536294843597E-17"
"7.75","2.1644275716964055E-16"
"8.0","1.5785976226644472E-15"
"8.25","1.0406077974629404E-14"
"8.5","6.237523736247685E-14"
"8.75","3.418542795071519E-13"
"9.0","1.721730983260102E-12"
"9.25","8.005650542193123E-12"
"9.5","3.4513233576453494E-11"
"9.75","1.3849648480026612E-10"
"10.0","5.191976168245635E-10"
"10.25","1.824430859650201E-9"
"10.5","6.028056152720824E-9"
"10.75","1.8781967660003525E-8"
"11.0","5.5333831024996E-8"
"11.25","1.5453225941567354E-7"
"11.5","4.1005977869631455E-7"
"11.75","1.0361670167249225E-6"
"12.0","2.498397704937215E-6"
"12.25","5.759461735810502E-6"
"12.5","1.2716838727097872E-5"
"12.75","2.693983632793029E-5"
"13.0","5.484381305387686E-5"
"13.25","1.0745724334478846E-4"
"13.5","2.029273808862197E-4"
"13.75","3.698535798013401E-4"
"14.0","6.51416558911988E-4"
"14.25","0.001110078316759151"
"14.5","0.0018323689354988295"
"14.75","0.0029329843199543872"
"15.0","0.004557149467793349"
"15.25","0.006880031572605512"
"15.5","0.010101998600166402"
"15.75","0.014438779548311178"
"16.0","0.02010612158879433"
"16.25","0.02729932798008979"
"16.5","0.03616900400596314"
"16.75","0.0467952826467197"
"17.0","0.0591635600407024"
"17.25","0.07314516043496673"
"17.5","0.08848623613234945"
"17.75","0.10480753903674615"
"18.0","0.12161653055987033"
"18.25","0.13833178193199566"
"18.5","0.15431798977183359"
"18.75","0.16892845689383482"
"19.0","0.18155081090871752"
"19.25","0.1916512307675549"
"19.5","0.19881260086043365"
"19.75","0.20276277821624858"
"20.0","0.20339040456596252"
"20.25","0.20074721493699088"
"20.5","0.19503735253364812"
"20.75","0.1865955745336687"
"21.0","0.17585725363151972"
"21.25","0.16332364665283966"
"21.5","0.14952599443323322"
"21.75","0.13499168757020172"
"22.0","0.12021508400037945"
"22.25","0.10563472777912905"
"22.5","0.09161782825560495"
"22.75","0.07845203206078476"
"23.0","0.06634384307165733"
"23.25","0.05542256706103026"
"23.5","0.04574839155724682"
"23.75","0.03732314137204061"
"0.0","0.0301023396617213"
"0.25","0.02400740599524112"
"0.5","0.01893708770507169"
"0.75","0.01477750485302945"
"1.0","0.011410457839908381"
"1.25","0.008719876534469278"
"1.5","0.006596468206125058"
"1.75","0.004940745221816704"
"2.0","0.003664686060191112"
