"Time","Daily_Load"
"0.0","760.0"
"0.25","759.173"
"0.5","756.702"
"0.75","752.622"
"1.0","746.988"
"1.25","739.879"
"1.5","731.393"
"1.75","721.647"
"2.0","710.775"
"2.25","698.926"
"2.5","686.265"
"2.75","672.966"
"3.0","659.213"
"3.25","645.194"
"3.5","631.104"
"3.75","617.136"
"4.0","603.484"
"4.25","590.335"
"4.5","577.872"
"4.75","566.265"
"5.0","555.674"
"5.25","546.247"
"5.5","538.113"
"5.75","531.383"
"6.0","526.152"
"6.25","522.491"
"6.5","520.45"
"6.75","520.057"
"7.0","521.319"
"7.25","524.217"
"7.5","528.713"
"7.75","534.742"
"8.0","542.224"
"8.25","551.053"
"8.5","561.11"
"8.75","572.254"
"9.0","584.332"
"9.25","597.179"
"9.5","610.615"
"9.75","624.457"
"10.0","638.513"
"10.25","652.59"
"10.5","666.493"
"10.75","680.031"
"11.0","693.017"
"11.25","705.271"
"11.5","716.626"
"11.75","726.924"
"12.0","736.023"
"12.25","743.798"
"12.5","750.141"
"12.75","754.966"
"13.0","758.205"
"13.25","759.814"
"13.5","759.771"
"13.75","758.076"
"14.0","754.753"
"14.25","749.847"
"14.5","743.427"
"14.75","735.58"
"15.0","726.415"
"15.25","733.969"
"15.5","741.163"
"15.75","748.586"
"16.0","756.17"
"16.25","763.845"
"16.5","771.541"
"16.75","779.185"
"17.0","786.707"
"17.25","794.037"
"17.5","801.108"
"17.75","807.853"
"18.0","814.212"
"18.25","820.124"
"18.5","825.535"
"18.75","830.395"
"19.0","834.659"
"19.25","838.287"
"19.5","841.246"
"19.75","843.508"
"20.0","845.053"
"20.25","845.867"
"20.5","845.941"
"20.75","845.275"
"21.0","843.875"
"21.25","841.754"
"21.5","838.932"
"21.75","835.435"
"22.0","831.295"
"22.25","826.551"
"22.5","821.246"
"22.75","815.429"
"23.0","809.156"
"23.25","802.482"
"23.5","795.471"
"23.75","788.187"
