"Time","Charging_Power"
"0.0","0.0"
"0.25","0.0"
"0.5","0.0"
"0.75","11.0"
"1.0","11.0"
"1.25","22.0"
"1.5","22.0"
"1.75","22.0"
"2.0","22.0"
"2.25","22.0"
"2.5","33.0"
"2.75","33.0"
"3.0","33.0"
"3.25","33.0"
"3.5","17.0"
"3.75","17.0"
"4.0","17.0"
"4.25","17.0"
"4.5","23.0"
"4.75","23.0"
"5.0","23.0"
"5.25","29.0"
"5.5","29.0"
"5.75","29.0"
"6.0","35.0"
"6.25","35.0"
"6.5","31.0"
"6.75","31.0"
"7.0","31.0"
"7.25","37.0"
"7.5","55.0"
"7.75","77.0"
"8.0","71.0"
"8.25","65.0"
"8.5","65.0"
"8.75","72.0"
"9.0","83.0"
"9.25","100.0"
"9.5","100.0"
"9.75","105.0"
"10.0","94.0"
"10.25","94.0"
"10.5","94.0"
"10.75","106.0"
"11.0","107.0"
"11.25","124.0"
"11.5","117.0"
"11.75","129.0"
"12.0","129.0"
"12.25","133.0"
"12.5","150.0"
"12.75","143.0"
"13.0","115.0"
"13.25","99.0"
"13.5","82.0"
"13.75","106.0"
"14.0","106.0"
"14.25","89.0"
"14.5","96.0"
"14.75","107.0"
"15.0","96.0"
"15.25","79.0"
"15.5","90.0"
"15.75","83.0"
"16.0","89.0"
"16.25","106.0"
"16.5","123.0"
"16.75","117.0"
"17.0","150.0"
"17.25","149.0"
"17.5","155.0"
"17.75","171.0"
"18.0","166.0"
"18.25","173.0"
"18.5","187.0"
"18.75","199.0"
"19.0","177.0"
"19.25","172.0"
"19.5","184.0"
"19.75","173.0"
"20.0","195.0"
"20.25","161.0"
"20.5","161.0"
"20.75","161.0"
"21.0","144.0"
"21.25","138.0"
"21.5","119.0"
"21.75","107.0"
"22.0","101.0"
"22.25","101.0"
"22.5","79.0"
"22.75","62.0"
"23.0","48.0"
"23.25","41.0"
"23.5","35.0"
"23.75","0.0"
